place_name,id_review,caption,relative_date,retrieval_date,rating,username,n_review_user,n_photo_user,url_user,language
Borobudur Temple,ChdDSUhNMG9nS0VJQ0FnSUQ3LVp6eDdBRRAB,A UNESCO heritage site that has no tickets available is absurd!,a week ago,2024-09-04 11:32:38.842378,1.0,Vincenzo Avallone,37,https://www.google.com/maps/contrib/110868335950646340963/reviews?hl=en,NULL,en
Borobudur Temple,ChZDSUhNMG9nS0VJQ0FnSUQ3bWF5TkFREAE,"Second visit after going 6 years ago At that time, you could freely go over the temple. Structure tickets must now be pre-booked. Of course, just looking at the lower part is amazing, but each layer has a different meaning and the shape of the Buddha statue is also different. Looking only at the bottom is actually only half the view. It is said that a ground ticket is half price. So wouldn’t it be right to lower the price? The expensive price is the same as before, but what you can see has decreased. I feel like I've been scammed.",a week ago,2024-09-04 11:32:38.878844,3.0,에드워드노튼,31,https://www.google.com/maps/contrib/106829952188871455982/reviews?hl=en,NULL,en
Borobudur Temple,ChdDSUhNMG9nS0VJQ0FnSUQ3eVk2bXNnRRAB,Needs early booking to go to the terrace. Easy to get a guide at the entrance,a week ago,2024-09-04 11:32:38.886648,5.0,Spyros P.,81,https://www.google.com/maps/contrib/110125775848571856480/reviews?hl=en,NULL,en
Borobudur Temple,ChZDSUhNMG9nS0VJQ0FnSUQ3aWNHYVhnEAE,"Stunning temple. We didn't like the guide for how he managed the timing to visit it, given that you only have 1 hour.",a week ago,2024-09-04 11:32:43.860931,5.0,Stefano Fornara,343,https://www.google.com/maps/contrib/101370511614018309564/reviews?hl=en,NULL,en
Borobudur Temple,ChZDSUhNMG9nS0VJQ0FnSUQ3a2FUbkVnEAE,"Imposible  by tickets to go inside, just outside. I have been looking like 2 weeks and only for outside available. Not good experience",a week ago,2024-09-04 11:32:43.879486,3.0,dь,1,https://www.google.com/maps/contrib/109368053107360003381/reviews?hl=en,NULL,en
Borobudur Temple,ChZDSUhNMG9nS0VJQ0FnSUQ3a2ZDRVd3EAE,Memories of Borobudur will be overwritten at the souvenir shop at the exit.,a week ago,2024-09-04 11:32:43.885637,4.0,DAN Japan,426,https://www.google.com/maps/contrib/102463548529137455402/reviews?hl=en,NULL,en
Borobudur Temple,ChZDSUhNMG9nS0VJQ0FnSUQ3b1p2VkJ3EAE,"Definitely worth a trip from Jogja! Tip: Get a Gojek driver. Let yourself be taken there and MUST buy your ticket online in advance (Temple Structure). The Gojek driver will offer you a return trip anyway (for the same price). There is a tour on site, which is included in the ticket price of the Temple Structure Ticket. You're welcome.",a week ago,2024-09-04 11:32:43.886672,5.0,Knut D,41,https://www.google.com/maps/contrib/113656108183797800126/reviews?hl=en,NULL,en
Borobudur Temple,ChdDSUhNMG9nS0VJQ0FnSUQ3dnRpVG93RRAB,A very big complex of Buddhist monastery. Must visit for cultural enrichment.,a week ago,2024-09-04 11:32:49.401713,5.0,Andre,51,https://www.google.com/maps/contrib/114314356736575468592/reviews?hl=en,NULL,en
Borobudur Temple,ChdDSUhNMG9nS0VJQ0FnSUQ3bnQzcGl3RRAB,"The market stalls after the tour, which you are forced to walk through, are relatively long. (10-15min) The tour was interesting and entertaining; you could tell that it was important to the guide.",a week ago,2024-09-04 11:32:49.401713,4.0,Cedric W,4,https://www.google.com/maps/contrib/110997447091173473674/reviews?hl=en,NULL,en
Borobudur Temple,ChZDSUhNMG9nS0VJQ0FnSUROLTlIclZBEAE,"Borobudur, also transcribed Barabudur is a 9th-century Mahayana Buddhist temple in Magelang Regency, not far from the city of Magelang and the town of Muntilan, in Central Java, Indonesia.  Borobudur is the largest Buddhist temple in the world, and ranks with Bagan in Myanmar and Angkor Wat in Cambodia as one of the great archeological sites of Southeast Asia. Borobudur remains popular for pilgrimage.",a week ago,2024-09-04 11:32:49.443246,4.0,Rinzin Wangchuk,18,https://www.google.com/maps/contrib/109138616046444014048/reviews?hl=en,NULL,en
Borobudur Temple,ChdDSUhNMG9nS0VJQ0FnSUQ3OXVQZ3lBRRAB,How poorly organized can it be? Such a tourist trap! At the end you walk through about 2km of unnecessary souvenir shops.,a week ago,2024-09-04 11:32:49.454057,1.0,Fabian Maximilian Abt,0,https://www.google.com/maps/contrib/106901177365720999084/reviews?hl=en,NULL,en
Borobudur Temple,ChdDSUhNMG9nS0VJQ0FnSUQ3eHVuampBRRAB,"The temple is pretty and the guide's explanations are great. Clean toilet. On the other hand, to go out, you have to pass in front of hundreds of stands all selling you the same thing and almost harassing you to stop. This loses the charm of a visit, especially with family. 30 minutes to get out of all these stands, that's nonsense.",a week ago,2024-09-04 11:32:54.864722,3.0,Jeremy Kobe,130,https://www.google.com/maps/contrib/108649686408570331794/reviews?hl=en,NULL,en
Borobudur Temple,ChZDSUhNMG9nS0VJQ0FnSUQ3bW92OFR3EAE,"Incredible place, the structure is worth seeing if you don't want to. We enter the structure and it is great.",a week ago,2024-09-04 11:32:54.874086,5.0,David Duque,9,https://www.google.com/maps/contrib/112942346447893158113/reviews?hl=en,NULL,en
Borobudur Temple,ChZDSUhNMG9nS0VJQ0FnSUQ3bXZUWkxBEAE,"A wonderful temple, a friendly guide, you need to buy the ticket in advance online because the number of visitors is limited, which is great because it is not crowded and you can take great photos.",a week ago,2024-09-04 11:32:54.892692,5.0,Marina Trupinovic,0,https://www.google.com/maps/contrib/116572785212730375762/reviews?hl=en,NULL,en
Borobudur Temple,ChZDSUhNMG9nS0VJQ0FnSUQ3cW9xUkVBEAE,"My ancestors are cool, you bet",a week ago,2024-09-04 11:32:54.922318,5.0,Faj Mad,0,https://www.google.com/maps/contrib/105027628718906510752/reviews?hl=en,NULL,en
Borobudur Temple,ChZDSUhNMG9nS0VJQ0FnSUQ3eXBLU1RBEAE,Simply amazing! The history of this place and all the magic it holds is really overwhelming. Get an official site to learn about the place and not to miss the relevance of it!,a week ago,2024-09-04 11:33:00.083692,5.0,Juan Manuel Alvarez Zabala,146,https://www.google.com/maps/contrib/108732467021019041951/reviews?hl=en,NULL,en
Borobudur Temple,ChdDSUhNMG9nS0VJQ0FnSUQ3Z3FPdTl3RRAB,"Borobudur Temple is nothing short of a masterpiece, a testament to the grandeur and ingenuity of ancient civilizations. As one of the largest and most impressive Buddhist monuments in the world, it offers an awe-inspiring experience that is sure to leave a lasting impression on anyone fortunate enough to visit.  From the moment you approach Borobudur, the sheer scale and intricacy of the structure take your breath away. Each level of the temple reveals a new layer of stunning detail – from the intricately carved stone reliefs that tell stories of ancient wisdom to the towering stupas that stand as silent sentinels against the backdrop of lush green hills. The craftsmanship and artistry that went into creating this monument are truly remarkable.  As you ascend the terraces, you not only feel a sense of physical elevation but also a spiritual one. The journey to the top is symbolic, representing a path to enlightenment, and the panoramic views that greet you at the summit are nothing short of spectacular. Standing at the peak, surrounded by mist-covered mountains and the lush landscape of Central Java, you can’t help but feel a profound connection to the past and a deep appreciation for the cultural heritage that Borobudur represents.  Visiting Borobudur is more than just a sightseeing trip; it’s an immersive experience that takes you on a journey through time, culture, and spirituality. Whether you’re a history buff, a cultural enthusiast, or simply someone who appreciates the beauty of human achievement, Borobudur Temple is a must-visit destination that will leave you in awe of its grandeur.  In summary, Borobudur Temple is a majestic and unforgettable destination. Its stunning architecture, rich history, and spiritual significance make it one of the most extraordinary places on Earth. A visit here is not just recommended – it’s essential for anyone exploring Indonesia.",a week ago,2024-09-04 11:33:00.091918,5.0,Shaheen Shahmirzadi,599,https://www.google.com/maps/contrib/110538664778808214817/reviews?hl=en,NULL,en
Borobudur Temple,ChdDSUhNMG9nS0VJQ0FnSUQ3Z3ZHejRnRRAB,Excellent management of entrances and guided tours of the facility. The temple is spectacular. We recommend purchasing the ticket to go up to the structure (up to the 9th floor) well in advance.,a week ago,2024-09-04 11:33:00.099974,5.0,stefano sandini,2,https://www.google.com/maps/contrib/101847458763633872244/reviews?hl=en,NULL,en
Borobudur Temple,ChdDSUhNMG9nS0VJQ0FnSUQ3X0kyN2hBRRAB,"Absolutely beautiful place. Lovely guide who really knew her story. For me the slippers were a bit nonsense, if I could have given them back they could have been used another time. Now I just threw them away since they were not comfortable at all.",a week ago,2024-09-04 11:33:00.103773,5.0,Bas Rosenboom,21,https://www.google.com/maps/contrib/102078978614753114852/reviews?hl=en,NULL,en
Borobudur Temple,ChZDSUhNMG9nS0VJQ0FnSUQ3ckpuSFRREAE,"The temple was nice but not for management  Worst and totally not professional  Dont go there..just visit other temple like : mendut temple,selogriyo temple,arjuna temple,plaosan temple,kalasan temple and all the temple under Ministry of education culture research and technology more easy to access and cheaper  No broker,no middleman..more easy more fun!!!",a week ago,2024-09-04 11:33:08.008049,1.0,Ananda Primatoko,8,https://www.google.com/maps/contrib/116011365026103736028/reviews?hl=en,NULL,en
Borobudur Temple,ChZDSUhNMG9nS0VJQ0FnSUQ3eklYRVpBEAE,"Amazing experience, a must if you visit Java island. Excellent guide",a week ago,2024-09-04 11:33:08.027091,5.0,Alessandra Cambria,111,https://www.google.com/maps/contrib/102298272542044866030/reviews?hl=en,NULL,en
Borobudur Temple,ChdDSUhNMG9nS0VJQ0FnSUQ3bE1IOGpRRRAB,Biggest Buddhist Temple in the world,a week ago,2024-09-04 11:33:14.138816,5.0,Edy Suratno wmx,36,https://www.google.com/maps/contrib/106157928163973898775/reviews?hl=en,NULL,en
Borobudur Temple,ChdDSUhNMG9nS0VJQ0FnSUQ3bE5hNDlBRRAB,"Stunning temple, trained guide and perfect slippers to take home as a souvenir.",a week ago,2024-09-04 11:33:14.138816,5.0,Simone Vigevani,2,https://www.google.com/maps/contrib/102494103694388050221/reviews?hl=en,NULL,en
Borobudur Temple,ChZDSUhNMG9nS0VJQ0FnSUQ3cE1EclFREAE,It’ s impossible to buy tickets in the ticket office to climb up the temple.  You have to book it online in big advance. It is partly because of local travel agencies. They buy most of tickets. This policy is corrupt….,a week ago,2024-09-04 11:33:14.149460,1.0,Krzysztof Mateusiak,0,https://www.google.com/maps/contrib/102616195947093165068/reviews?hl=en,NULL,en
Borobudur Temple,ChZDSUhNMG9nS0VJQ0FnSUQ3eE1XVWZnEAE,"Buddhist temple. Essential visit. With the prior reservation system, the visit is very comfortable.",a week ago,2024-09-04 11:33:14.153969,5.0,Mª Jóse Huarte,0,https://www.google.com/maps/contrib/110222653706522706977/reviews?hl=en,NULL,en
Borobudur Temple,ChZDSUhNMG9nS0VJQ0FnSUQ3aE9MN1RREAE,"It's really great, but it's quite a long way from Jogja and a bit overpriced if you don't get a structure ticket.  They were sold out a week in advance, but strangely enough all the overpriced tour operators had them available on the day.",a week ago,2024-09-04 11:33:14.173739,3.0,Craig Hall,43,https://www.google.com/maps/contrib/101807826916516394129/reviews?hl=en,NULL,en
Borobudur Temple,ChZDSUhNMG9nS0VJQ0FnSUQ3Mk9LSlFREAE,"I cannot recommend the temple at all! The entrance fee is super expensive and with the normal ticket you are only allowed to walk around the temple from below, which is super boring... I understood from the reviews that you are still allowed to go to the temple but not to the upper levels. But that's not the case!!! You can really only look from the outside/below. So either get a ticket in time so you can get in or save yourself the money and frustration.",2 weeks ago,2024-09-04 11:33:20.455201,1.0,aewa,0,https://www.google.com/maps/contrib/105602662595864732924/reviews?hl=en,NULL,en
Borobudur Temple,ChZDSUhNMG9nS0VJQ0FnSUQ3eUxEbVJBEAE,New concept. Limit the visitor. Nice. So people can actually enjoy the moments,2 weeks ago,2024-09-04 11:33:20.484928,5.0,Marizka Ikamarizka,222,https://www.google.com/maps/contrib/114990188489390052439/reviews?hl=en,NULL,en
Borobudur Temple,ChdDSUhNMG9nS0VJQ0FnSUQ3aUp1TjhRRRAB,"Second visit to Borobudur ruins. I wanted to climb to the top and take a photo, but currently you can't climb to the top unless you buy a ticket online. You can take photos below, and you can walk around the grounds. If you have a date set, you should buy your tickets online. There are many atmospheres that Japanese people like here. A place with a mysterious charm. Recommended.",2 weeks ago,2024-09-04 11:33:20.490457,5.0,Naoto Seki,30,https://www.google.com/maps/contrib/111471489377649727045/reviews?hl=en,NULL,en
Borobudur Temple,ChZDSUhNMG9nS0VJQ0FnSUQ3aU9iZUdnEAE,"Before going there I was very excited to discover this renowned temple.  Arriving there we were told that there is no longer any possibility of visiting the interior of the temple, only places to enter and walk around the temple are sold.  1st disappointment: no express indication that entry to the temple is limited to 15 people for approximately 5 daily visits.  2nd disappointment: the price, 387,500 rupees to walk around the temple, barely 20,000 rupees more to enter. A shame to charge 387,500 rupees just to walk 10 minutes around the temple!  No activities or exhibitions are offered.  In conclusion, only go there if you have nearly 400,000 rupees to spend before leaving this beautiful country that is Indonesia.  I recommend the Prambanan temple, this temple is 1000000 times better than Borobudur which is too highlighted by tourist sites.",2 weeks ago,2024-09-04 11:33:27.164021,1.0,Bernadette Ngo massogui,1,https://www.google.com/maps/contrib/108036950527043813719/reviews?hl=en,NULL,en
Borobudur Temple,ChdDSUhNMG9nS0VJQ0FnSUQ3MEtPcTlnRRAB,Wasn't worth the hype. We couldn't get the Top tickets since they are FULLY BOOKED FOR THE NEXT 3 MONTHS!!! In truth I think that the tour people are buying all the tickets for the silly price of the locals and then re- selling them on the tour for 3 times more which is very unfair. The Ground tickets are simply not worth the price and they should be free or not  more than $10. The bottom part that you can see is all renovated and literally a 10 min walk around under the excruciating heat with no shade whatsoever.,2 weeks ago,2024-09-04 11:33:27.167046,2.0,Concetta Arnao,116,https://www.google.com/maps/contrib/110188865924641655914/reviews?hl=en,NULL,en
Borobudur Temple,ChdDSUhNMG9nS0VJQ0FnSUQ3a05iSDNBRRAB,"One star for the temple grounds ticket. Such a waste of money, effort and time.  The grounds should be free.  There's nothing to do or see as the temple has a terrible perspective whilst looking from ground level. They sell the ticket at about 90% of the temple structure ticket which sells out months prior to local scalpers. Who can purchase the ticket for next to 25k rupiah then sell online for 1 million to tourists. The mark up from local to tourist is astronomical.  If you think that the temple itself may be of interest think again. There isn't even access to get close enough to view any carvings or statues. You basically can walk a perimeter then leave.  The perimeter you can walk around has zero carvings and is brand new, takes about 10 minutes. You keep thinking it's going to get better but it doesn't.  Don't think like me that they would at least let you on the first level. They have barricades around the whole place and you need a wrist band and special shoes to even step near the temple.  All you see is the brand new bricks they laid recently. You can't even view any bells or the top.  All the statues at the mid to higher levels have been decapitated and not replaced.  You're basically paying 90% of a full ticket price to watch from outside the temple. In the blistering sun with no shade or cover.  Pic below is about as close as you can get.",2 weeks ago,2024-09-04 11:33:27.204045,1.0,Dan,57,https://www.google.com/maps/contrib/104479304695405749126/reviews?hl=en,NULL,en
Borobudur Temple,ChdDSUhNMG9nS0VJQ0FnSUM3dWJQUnlnRRAB,"The temple is definitely beautiful, but the ticket prices are far too high and you definitely have to book weeks in advance otherwise you can only see the temple from below. The exit took probably 10 minutes and everything was full of stalls trying to sell you something that wasn't nice. In addition, it is not possible to park normally and you are forced to park at a parking point for money. It all feels a bit rip-off",2 weeks ago,2024-09-04 11:33:27.208642,2.0,Marcel B.,19,https://www.google.com/maps/contrib/105651904482317907135/reviews?hl=en,NULL,en
Borobudur Temple,ChZDSUhNMG9nS0VJQ0FnSUQ3Z1BqTlpnEAE,"Definitely a beautiful temple, but if you don't book your tickets well in advance it becomes boring because you can't enter (that is: if you get there and get the ticket, only the one is available to see it from the outside, while the ""climbing"" one is available to see it inside too it will certainly no longer be available).",2 weeks ago,2024-09-04 11:33:34.185554,3.0,Camillo Colli (sl3ight),82,https://www.google.com/maps/contrib/104339538843372356963/reviews?hl=en,NULL,en
Borobudur Temple,ChdDSUhNMG9nS0VJQ0FnSUM3dF9QRXVnRRAB,Sincere,2 weeks ago,2024-09-04 11:33:34.230505,5.0,Yu-Chuan Tseng (Jane),11,https://www.google.com/maps/contrib/116507242210929391230/reviews?hl=en,NULL,en
Borobudur Temple,ChdDSUhNMG9nS0VJQ0FnSUM3dDlpVmd3RRAB,Incredible temple and garden to discover. Don't hesitate to stroll around the park to appreciate the different viewpoints. Remember to buy your tickets in advance if you want to enter the temple.,2 weeks ago,2024-09-04 11:33:34.234535,5.0,Benjamin Carvalho,16,https://www.google.com/maps/contrib/111520217965220621509/reviews?hl=en,NULL,en
Borobudur Temple,ChZDSUhNMG9nS0VJQ0FnSUM3cDdiLUZnEAE,Couldn't go inside the temple cuz it's closed but did explore the outside and other places in the area,2 weeks ago,2024-09-04 11:33:40.279099,4.0,Jason Hiew,3,https://www.google.com/maps/contrib/101609578665547562711/reviews?hl=en,NULL,en
Borobudur Temple,ChdDSUhNMG9nS0VJQ0FnSUM3M1k3a293RRAB,been 9 years since 2015 and all looks a bit different. i mean it becomes great great temple now in 2024,2 weeks ago,2024-09-04 11:33:40.290578,5.0,Sari Qurani,2,https://www.google.com/maps/contrib/112297767759259659020/reviews?hl=en,NULL,en
Borobudur Temple,ChdDSUhNMG9nS0VJQ0FnSUM3M2NxWHhRRRAB,"Tickets to enter the temple are limited, so early purchase is recommended. However, I enjoyed just looking around the temple. There are souvenir shops lined up all the way to the exit.",2 weeks ago,2024-09-04 11:33:40.307829,5.0,Kaito H,484,https://www.google.com/maps/contrib/113078307777282347255/reviews?hl=en,NULL,en
Borobudur Temple,ChdDSUhNMG9nS0VJQ0FnSUM3d3FXR3lnRRAB,"Borobudur Temple is one of the world's three largest Buddhist monuments. It had a different kind of awesomeness than Angkor Wat. As of August 2024, the limit for climbing the mountain is 1,200 people per day, which means it's just the right number of tourists without being too many. Ticket reservations are required. If you purchase a ticket on the day, there is a high possibility that you will not be able to go up. When I made a reservation 10 days in advance, the morning time was fully booked. When you reach the summit, you will receive special sandals.",2 weeks ago,2024-09-04 11:33:40.325542,5.0,FGH “KFGH” K,99,https://www.google.com/maps/contrib/112682714754461982586/reviews?hl=en,NULL,en
Borobudur Temple,ChZDSUhNMG9nS0VJQ0FnSUM3OVpiaE53EAE,A wonderful historical artifact,2 weeks ago,2024-09-04 11:33:46.995942,5.0,Ercan şen,49,https://www.google.com/maps/contrib/100834977823058341078/reviews?hl=en,NULL,en
Borobudur Temple,ChZDSUhNMG9nS0VJQ0FnSUM3MWYtV2RnEAE,"The site is great but many are disappointed because you have to book in advance (in August 2 weeks) to go up given the access restrictions. And then the endless line of sellers to go out is excessive; there are some longer than the temple: worse than an Ikea store! And when we pass by, no one buys which makes us feel sorry for all these people: there are really too many of them.",2 weeks ago,2024-09-04 11:33:47.009406,3.0,Eric Vasson,3,https://www.google.com/maps/contrib/105854516846306739967/reviews?hl=en,NULL,en
Borobudur Temple,ChZDSUhNMG9nS0VJQ0FnSUM3bGNHNkdnEAE,It's not worth it,2 weeks ago,2024-09-04 11:33:47.013854,2.0,Marco Costa,50,https://www.google.com/maps/contrib/107506738726246908111/reviews?hl=en,NULL,en
Borobudur Temple,ChZDSUhNMG9nS0VJQ0FnSUM3LWNfRktnEAE,"8/17/24 It is known as the four wonders of the East. Compared with Angkor Wat, I feel that Angkor Wat has more richness. This is the largest single Buddhist temple. To climb to the top of the temple, you need to make an appointment in advance and arrive early. There will be tickets and a tour guide will explain and explain, but in fact the tour time is not long. For a one-hour trip, 30 minutes are free time, and you can leave after an hour.",2 weeks ago,2024-09-04 11:33:53.161683,4.0,Joe,"1,123",https://www.google.com/maps/contrib/107118359423259061101/reviews?hl=en,NULL,en
Borobudur Temple,ChZDSUhNMG9nS0VJQ0FnSUM3MmJhX1Z3EAE,"It is much more worth seeing inside, if you are going to go get the tickets well in advance because they are limited.",2 weeks ago,2024-09-04 11:33:53.186759,5.0,Erika Chalco,15,https://www.google.com/maps/contrib/106590961889798128497/reviews?hl=en,NULL,en
Borobudur Temple,ChZDSUhNMG9nS0VJQ0FnSUM3bWRHZkFREAE,"The entrance to the field is not worth it. The return to the temple is 15' and then to leave you have a 30' walk between t-shirt stands all the same with very heavy shopkeepers. Almost non-existent information signs. I imagine that if you get a ticket to go up to the temple and a guide it will be better, but three days later it was only available for resale.",2 weeks ago,2024-09-04 11:33:53.191776,2.0,Daniel Cano,5,https://www.google.com/maps/contrib/117409206881491186403/reviews?hl=en,NULL,en
Borobudur Temple,ChZDSUhNMG9nS0VJQ0FnSUM3NmR1NWRBEAE,Very high prices even just to enter the park below. Forced to walk 1 km of souvenir booths just to get out,2 weeks ago,2024-09-04 11:33:53.199071,1.0,Nicolò Gasparini,10,https://www.google.com/maps/contrib/116046977579755955841/reviews?hl=en,NULL,en
Borobudur Temple,ChZDSUhNMG9nS0VJQ0FnSUM3a2NPQklBEAE,Whats to say about this location. 1 of the or even the most famous budhist tempel In the world. Looks great. Been there.. But no need to go back.  4 stars because of the market trap going to the exit.,2 weeks ago,2024-09-04 11:33:53.226122,4.0,Ray's,143,https://www.google.com/maps/contrib/106111234354044343750/reviews?hl=en,NULL,en
Borobudur Temple,ChZDSUhNMG9nS0VJQ0FnSUM3a1lDbkJBEAE,You have to visit it yes or yes!!,2 weeks ago,2024-09-04 11:33:59.102116,5.0,Manolo Galan,403,https://www.google.com/maps/contrib/113561237847351041188/reviews?hl=en,NULL,en
Borobudur Temple,ChZDSUhNMG9nS0VJQ0FnSUM3dnJISVF3EAE,"We could only buy the ground ticket (inside tickets were sold out for two weeks). Beautiful monument but honestly too expensive the ground ticket. Moreover, guide service was interrupted from 11:00 to 13:00 because it's muslims pray time. In the end, we parked near the entrance, but the exit is on the opposite side, about 15 minutes fare away by walk.",2 weeks ago,2024-09-04 11:33:59.223246,1.0,Andrea Valle,3,https://www.google.com/maps/contrib/114048688836022610643/reviews?hl=en,NULL,en
Borobudur Temple,ChZDSUhNMG9nS0VJQ0FnSUM3bnNPVlRBEAE,"Does anybody know where I can find combitickets for the Boromodur & Prambanan? Second question, what is the difference in tickets names: Dharma & Kalyanamitra. Are these two different tours at the same complex?",2 weeks ago,2024-09-04 11:33:59.276275,3.0,Joost Juriaan,0,https://www.google.com/maps/contrib/100033636065464017606/reviews?hl=en,NULL,en
Borobudur Temple,ChZDSUhNMG9nS0VJQ0FnSUM3bnNQZ09nEAE,"I first visited the temple in 2019 and it was an entirely different experience. This time, in 2024, they told us the tickets for the temple structure are sold out and we can only have access to the ground floor, for the price of 387.000 IDR. Ok . When we arrived, all other floors were not crowded at all, but locked. We spent 10 mins walking around the temple, then followed the exit signs and found ourselves in kms of souvenir shops... Endless. The temple is beautiful but unfortunately it has become a tourist trap. What a shame!",2 weeks ago,2024-09-04 11:34:04.466130,1.0,Thiên-Bảo LÊ,81,https://www.google.com/maps/contrib/102057035969391401789/reviews?hl=en,NULL,en
Borobudur Temple,ChdDSUhNMG9nS0VJQ0FnSUM3cnJTc3NRRRAB,One of the must-visit temples on the island of Java.,2 weeks ago,2024-09-04 11:34:04.471149,5.0,Fausto Pianigiani,13,https://www.google.com/maps/contrib/111626198590939099428/reviews?hl=en,NULL,en
Borobudur Temple,ChdDSUhNMG9nS0VJQ0FnSUM3enNTYWtBRRAB,"World's largest Buddhist temple .. Has got two type of tickets 1. For ground  tour of temple  costing IDR 400000 2. To see temple structure another IDR 400000 or you can buy a combo ticket at 675000 For garden tour in addition to walk three options are available 1. By Toyo -- IDR 20000 PP 2 By good cart - IDR 25000 PP 3. By horse cart - IDR 100000 per cart Above three picks from entrance and leave 100 meters to temple stairs Temple has 400 steep stairs Very high rates, if the temple is meant for pilgrimage and pilgrims",2 weeks ago,2024-09-04 11:34:04.471149,4.0,Lokesh Bhargava,149,https://www.google.com/maps/contrib/116792522197939537173/reviews?hl=en,NULL,en
